filename,edge_count,contrast,energy,homogeneity
1.png,4409,98.97477022058821,0.015302327418530146,0.2396583059030301
2.png,412,40.03854166666666,0.016552898705648515,0.2454665678135653
3.png,4499,179.46591605392155,0.011268472315157634,0.12951138563629558
4.png,2712,147.71801470588235,0.012613278217278088,0.16568350855270708
5.png,7447,198.68221507352942,0.011347753435317626,0.1437532571770454
6.png,2783,123.94057904411764,0.014593905307943411,0.22591736171611762
7.png,5207,194.05454963235294,0.01731652772217748,0.29066564484942786
8.png,4852,177.20206801470593,0.013218741777232606,0.18840979914629757
9.png,3876,103.7704350490196,0.015372355227491072,0.2484760200390308
10.png,3401,129.31888786764708,0.01774826449678841,0.3019390222910547
